symbol,context,meaning,context_len,n_interps
Beef,To see or eat beef in your dream," signifies your animal instinct and animalistic energy. The dream may also be a reference to your ""beef"" or grudge with someone. Are you trying to pick a fight?",32,1
Beehive,To see a beehive in your dream, denotes that there are many opportunities for you to get ahead in life. Don't let them escape from your grasp. The beehive symbolizes hard work and the importance of teamwork. A promotion may be in store for you.,30,3
Beehive,To see an empty beehive, signifies sorrow over love affairs and financial losses.,23,3
Beehive,To dream of destroying a beehive, symbolizes losses and bad luck.,32,3
Beekeeper,To see or dream that you are a beekeeper," implies that you need to find a balance between your professional life and your social life. Alternatively, the dream refers to some precarious situation that you need to handle with caution.",40,1
Beeper,#Ref:pager,#Ref:pager,10,1
Beer,To see or drink beer in your dream," represents happiness, relaxation, and/ or inspiration. You are free of worries and enjoying the moment. Alternatively, beer drinking refers to your social life.",34,1
Beer Bong,To see or drink from a beer bong in your dream, represents your desires to escape from the stressors in your life. You are channeling your feelings in an ineffective way. Alternatively the dream refers to your party hard mentality.,46,1
Beetle,To see a beetle in your dream," indicates that some destructive influences may be at work in your waking life. You may also feel that your values and beliefs are being compromised. If you dream that beetles are crawling all over you, then it indicates that a lot of minor issues are bugging you.",29,1
Beets,To see or eat beets in your dream, symbolize success and abundance. You are reaping the benefits of your hard work.,33,1
Beg,To dream that you are begging for something, represents your unhappiness and dissatisfaction with your current waking situation. You are afraid to accept help or do not want to admit that you need help.,43,1
Beggar,To see or dream that you are a beggar," represents your sense of insecurity and lack of self-worth. You feel that you are undeserving. Alternatively, the dream may be telling you that ""beggars can't be choosers"". Perhaps you are being too picky about something that you should not be picky about.",37,2
Beggar,To dream that you are helping a beggar, indicates that you will overcome your hardships and inadequacies.,38,2
Begin,To dream about beginning something, indicates that valuable time has been wasted through procrastination. You need to get on with life and put your plans into motion.,34,1
Behead,To dream that you or someone else is being beheaded, signifies poor judgment or a bad decision that you have made and regretted. You are not thinking clearly and are refusing to see the truth. You need to confront the situation or the person despite the pain and discomfort you might feel in doing so. The dream also suggests that you have the tendency to act before you think.,51,2
Behead,To dream that a snake is being beheaded, indicates that you are refusing to face your fears.,39,2
Behind,To dream that you are behind someone," suggests that you are offering your support and encouragement for someone. Alternatively, it refers to emerging subconscious thoughts and feelings.",36,2
Behind,To dream that you are left behind," represents feelings of rejection or not fitting into a group. It may also highlight fears of not being able to keep up. You are questioning your abilities and/or may not be utilizing your full potential. If you left something or someone behind, then it indicates that you are ready to let go of the past and move forward.",33,2
Belch,#Ref:burp,#Ref:burp,9,1
Believing,To dream that no one believes you, represents a lack of confidence. You are questioning your own decisions or judgment.,33,1
